행유형,원본부모Claim번호,자식Claim번호,입력구분,최종검증유형,유형분류결과,원문,기사작성일,대상수치표현,지표,기사값,단위,기준시점,주기,지역,대상집단,차원JSON,계산방식,조건JSON,파싱상태,공식조회진입경로,최종상태,최종사유코드,실패단계,실패원인_쉬운설명,판정,공식계산값,공식좌표JSON,공식출처JSON,공식근거URL,응답해시,공표확인,공식근거종류,공식판정완료,진단번호,원본상세사유,전체자식수,8번직접값자식수,다른유형자식수,공식판정완료자식수,실행결과파일
부모겸단일결과,A00268_14,A00268_14,단일 수치,8번 직접값,8번 직접값 유지,무역 수지도 518억 달러 흑자로 2021년 이후 3년 만에 흑자로 돌아섰다.,2025-01-21,5.18e+10달러,무역수지,51800000000.0,달러,2021,Y,,,,DIRECT_VALUE,"{""polarity"": ""SURPLUS""}",AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,LOW_SEMANTIC_SCORE,EVIDENCE_CELL,LOW_SEMANTIC_SCORE,UNDETERMINED,,"[{""canonical_key"": ""ORG=101|TBL=DT_1TEC_P314|ITM=T20|OBJ=A|MEMBER=무역수지|PRD_SE=년|PRD_DE=2021|DIMS=A:무역수지,M:계,F:계"", ""dimension_codes"": {""A"": ""03"", ""F"": ""00"", ""M"": ""00""}, ""dimension_members"": {""A"": ""무역수지"", ""F"": ""계"", ""M"": ""계""}, ""itm_id"": ""T20"", ""member_code"": ""무역수지"", ""obj_id"": ""A"", ""org_id"": ""101"", ""prd_de"": ""2021"", ""prd_se"": ""년"", ""status"": ""CONFIRMED"", ""tbl_id"": ""DT_1TEC_P314"", ""unit"": ""천달러""}]",[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\single_133_live_final_v3\claim_verification_results.jsonl
입력차단부모,A00278_9,,비통계 숫자 역할 차단,8번 직접값 제외,공식조회 전 차단,더불어민주당 정일영 의원실에 따르면 작년 11월 기준 보수 성향 유튜버의 수퍼챗 수입 상위 7개 채널 중 6개의 지난달 수퍼챗 수익은 한 달 새 평균 2.1배 늘어났다.,2025-01-22,,수입액,7,개,2024-11,M,,,,,,HUMAN_REVIEW,,공식조회 전 차단,TARGET_CONTEXT_ROLE_CONFLICT,Claim 수치 역할 확인,연령·기간·제품명 등 통계값이 아닌 숫자를 기사값으로 사용하지 않도록 차단,,,,,,,,,,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\direct-value-execution\deliverables\CLAFACT_AUTO_8번_1단계_숫자역할오인차단_20260825.csv
부모겸단일결과,A00279_23,A00279_23,단일 수치,8번 직접값,8번 직접값 유지,"행정안전부는 2024년 주민등록 인구통계를 분석한 결과, 출생자 수가 24만2334명으로 202... 김희래 기자 법무부, 검찰, 고위공직자범죄수사처를 취재합니다.",2025-01-22,242334명,총인구,242334.0,명,2024,Y,,,,DIRECT_VALUE,,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,HARD_GUARD,공식표는 찾았지만 기사 조건에 맞는 항목·지역·기간 좌표를 확정하지 못함,UNDETERMINED,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\single_133_live_final_v3\claim_verification_results.jsonl
입력차단부모,A00279_8,,비통계 숫자 역할 차단,8번 직접값 제외,공식조회 전 차단,5개월 연속 출생아 수가 늘어난 것은 2015년 3~7월 이후 9년 4개월 만에 처음이다.,2025-01-22,,출생아 수,5,개,2015,Y,,,,,,HUMAN_REVIEW,,공식조회 전 차단,TARGET_NOT_FOUND_IN_SOURCE,Claim 수치 역할 확인,연령·기간·제품명 등 통계값이 아닌 숫자를 기사값으로 사용하지 않도록 차단,,,,,,,,,,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\direct-value-execution\deliverables\CLAFACT_AUTO_8번_1단계_숫자역할오인차단_20260825.csv
부모겸단일결과,A00292_6,A00292_6,단일 수치,8번 직접값,8번 직접값 유지,"통계청의 연간 통계는 아직 나오기 전이지만, 지난 3일 행정안전부의 주민등록 인구 통계에 따르면 작년 출생아 수는 24만2334명으로 9년 만에 처음으로 증가했다.",2025-01-23,242334명,출생아 수,242334.0,명,2024,Y,,,,DIRECT_VALUE,"{""direction"": ""INCREASE""}",AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,AS_OF_UNAVAILABLE,OFFICIAL_VALUE_FETCH,기사 작성일 기준 공표된 공식값인지 확인하지 못함,UNDETERMINED,,"[{""canonical_key"": ""ORG=101|TBL=DT_1B8000G|ITM=T1|OBJ=B|MEMBER=전국|PRD_SE=년|PRD_DE=2024|DIMS=B:전국,A:출생아수(명)"", ""dimension_codes"": {""A"": ""10"", ""B"": ""00""}, ""dimension_members"": {""A"": ""출생아수(명)"", ""B"": ""전국""}, ""itm_id"": ""T1"", ""member_code"": ""전국"", ""obj_id"": ""B"", ""org_id"": ""101"", ""prd_de"": ""2024"", ""prd_se"": ""년"", ""status"": ""CONFIRMED"", ""tbl_id"": ""DT_1B8000G"", ""unit"": ""명""}]","[{""content_hash"": ""8b108c178cc52a5182d9c572527f7727086fc0df8d9128ad021c30906237b37a"", ""evidence_key"": ""ORG=101|TBL=DT_1B8000G|ITM=T1|OBJ=B|MEMBER=전국|PRD_SE=년|PRD_DE=2024|DIMS=B:전국,A:출생아수(명)"", ""publication"": {""content_hash"": ""882ea1046b8fe06af80e5ccfa2f0e019e4174b51a050363f55714b66573aaacc"", ""coverage_end_period"": null, ""coverage_start_period"": null, ""evidence_scope"": ""PERIOD"", ""pub_date_text"": ""조사기준 년 익년"", ""pub_period"": ""월"", ""publication_method_url"": ""언론(보도자료), 전산망(인터넷), 간행물2024년 5월 인구동향https://mods.go.kr/board.es?mid=a10301020300&amp;bid=204"", ""published_at"": null, ""reference_period"": null, ""retrieved_at"": ""2026-08-26T08:49:03.822299Z"", ""source_url"": ""https://kosis.kr/openapi/statisticsExplData.do?method=getList&format=json&jsonVD=Y&orgId=101&tblId=DT_1B8000G&metaItm=All"", ""status"": ""UNRESOLVED""}, ""retrieved_at"": ""2026-08-26T08:48:59.639505Z"", ""source"": ""API"", ""source_url"": ""https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1B8000G&itmId=T1&prdSe=Y&startPrdDe=2024&endPrdDe=2024&objL1=00&objL2=10"", ""value_last_changed_at"": null}]",https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1B8000G&itmId=T1&prdSe=Y&startPrdDe=2024&endPrdDe=2024&objL1=00&objL2=10,8b108c178cc52a5182d9c572527f7727086fc0df8d9128ad021c30906237b37a,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\single_133_live_final_v3\claim_verification_results.jsonl
부모겸단일결과,A00298_10,A00298_10,단일 수치,8번 직접값,8번 직접값 유지,한은은 올해 연간 성장률 중 건설 투자 부분이 -1.3% 수준일 것으로 봤다.,2025-01-23,1.3%,건설투자,1.3,%,2025,Y,,,,DIRECT_VALUE,,HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,INDICATOR_REFINEMENT_REQUIRED,CLAIM_PARSE,INDICATOR_REFINEMENT_REQUIRED,,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\single_133_live_final_v3\claim_verification_results.jsonl
복수문장부모요약,A00298_3,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,작년 연간 경제성장률은 2%로 잠재성장률(2%)을 간신히 지켰다.,2025-01-23,,경제성장률,2,%,2024,Y,,,,,,,,자식별 결과,"{""TARGET_AMBIGUOUS_IN_SOURCE"": 1}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,1,0,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
입력차단부모,A00308_14,,비통계 숫자 역할 차단,8번 직접값 제외,공식조회 전 차단,"경제 성장률에 얼마나 영향을 미쳤는지 보여주는 성장기여도는 순수출(수출-수입)이 작년 3분기 -0.8%포인트에서 4분기 0.1%포인트로 올라갔으나, 내수는 0.8%포인트에서 0%포인트로 추락했다.",2025-01-24,,수출액,0.8,%p,2024-Q3,Q,,,,,,HUMAN_REVIEW,,공식조회 전 차단,TARGET_AMBIGUOUS_IN_SOURCE,Claim 수치 역할 확인,연령·기간·제품명 등 통계값이 아닌 숫자를 기사값으로 사용하지 않도록 차단,,,,,,,,,,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\direct-value-execution\deliverables\CLAFACT_AUTO_8번_1단계_숫자역할오인차단_20260825.csv
복수문장부모요약,A00308_6,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,그나마 수출이 잘됐던 작년 1분기(1.3%) 덕에 2% 턱걸이를 했다.,2025-01-24,,수출액,1.3,%,2024-Q1,Q,,,,,,,,자식별 결과,"{""중심 수치 2%의 지표와 대상 기간이 문장에 명시되지 않았고, 괄호의 1.3%는 비교 기준으로 보이지만 어떤 지표의 값인지 불명확함"": 1}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,1,0,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장부모요약,A00353_15,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,"2022년에도 39.1%로, 40% 가까운 이들이 법인 명의로 수입차를 등록했다.",2025-01-28,,수입액,39.1,%,2022,Y,,,,,,,,자식별 결과,{},,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,0,1,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장부모요약,A00354_13,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,"50년 후 먼 미래가 아니더라도, 불과 25년 후인 2050년에 생산연령인구 1.3명이 고령 인구 1명을 부양해야 한다.",2025-01-28,,고령인구 수,1.3,명,2050,Y,,,,,,,,자식별 결과,"{""NO_HARD_GUARD_CANDIDATE"": 1}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,1,0,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장부모요약,A00368_19,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,"◇2년 연속 취업자 증가폭 10만명대 그칠 듯 정부도 대내·외 불확실성을 고려해, 올해 경제정책방향을 발표하면서 올해 취업자 수 증가폭을 12만명으로 내다봤다.",2025-01-29,,취업자 수,100000,명,2025,Y,,,,,,,,자식별 결과,"{""AS_OF_UNAVAILABLE"": 1}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,1,0,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장부모요약,A00399_21,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,"2017년 트럼프 1기가 시작했을 때 물가(2.1%)보다 훨씬 높고, 트럼프 1기 때 가장 높았던 물가(2018년 6~7월 2.9%)와 같은 수준이다.",2025-01-31,,물가상승률,2.1,%,2017,Y,,,,,,,,자식별 결과,"{""RECLASSIFY_TO_RANK"": 1}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,1,0,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
부모겸단일결과,A00463_1,A00463_1,단일 수치,8번 직접값 제외,다른 유형으로 이동: 7번 증감률,지난달 소비자물가가 전년 동월 대비 2.2% 오른 것으로 나타났다.,2025-02-05,2.2%,소비자물가 상승률,2.2,%,2025-01,M,,,,DIRECT_VALUE,,HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,RECLASSIFY_TO_GROWTH_RATE,CLAIM_PARSE,직접값이 아니라 두 기간 공식값으로 비율을 계산해야 하는 증감률 주장,,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\single_133_live_final_v3\claim_verification_results.jsonl
복수문장부모요약,A00463_15,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,"기조적인 물가 흐름을 나타내는 근원물가지수(식료품 및 에너지 제외 지수)는 전년 동월 대비 1.9% 오르며, 4개월째 1%대를 유지했다.",2025-02-05,,물가지수,1.9,%,2025,Y,,,,,,,,자식별 결과,{},,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,0,1,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
부모겸단일결과,A00475_2,A00475_2,단일 수치,8번 직접값 제외,다른 유형으로 이동: 7번 증감률,통계청은 5일 ‘1월 소비자물가 동향’에서 지난달 소비자물가가 작년 같은 달보다 2.2% 올랐다고 밝혔다.,2025-02-06,2.2%,소비자물가 상승률,2.2,%,2024,Y,,,,DIRECT_VALUE,,HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,RECLASSIFY_TO_GROWTH_RATE,CLAIM_PARSE,직접값이 아니라 두 기간 공식값으로 비율을 계산해야 하는 증감률 주장,,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\single_133_live_final_v3\claim_verification_results.jsonl
복수문장부모요약,A00489_11,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,"작년 12월 수출은 633억달러로 전달보다 11.1%, 전년 같은 달보다 6.6% 뛰었다.",2025-02-07,,수출액,63300000000,달러,2024-12,M,,,,,,,,자식별 결과,"{""중심 수치에 전월 대비와 전년 동월 대비라는 서로 독립적으로 검증 가능한 증감률이 함께 포함되어 있어 단일 주장으로 안전하게 확정할 수 없음"": 1}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,1,0,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
부모겸단일결과,A00555_20,A00555_20,단일 수치,8번 직접값 제외,다른 유형으로 이동: 7번 증감률,하지만 지난달 수출은 전년 동월 대비 10.3% 급감했다.,2025-02-12,10.3%,수출액,10.3,%,2025-01,M,,,,DIRECT_VALUE,,HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,RECLASSIFY_TO_GROWTH_RATE,CLAIM_PARSE,직접값이 아니라 두 기간 공식값으로 비율을 계산해야 하는 증감률 주장,,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\single_133_live_final_v3\claim_verification_results.jsonl
복수문장부모요약,A00579_17,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,"대표적으로 도·소매업 취업자는 전년 동월 대비 9만1000명 감소하는 데 그치며, 지난해 8월(-5만5000명) 이후 5개월 만에 최저 감소폭을 보였다.",2025-02-14,,취업자 수,91000,명,2024-08,M,,,,,,,,자식별 결과,{},,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,0,1,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
입력차단부모,A00579_21,,비통계 숫자 역할 차단,8번 직접값 제외,공식조회 전 차단,특히 일용직 근로자가 많은 50대는 취업자가 1만4000명 줄어들면서 지난 2021년 2월(-13만9000명) 이후 47개월 만에 감소세 보이기도 했다.,2025-02-14,,취업자 수,50,대,2021-02,M,,,,,,HUMAN_REVIEW,,공식조회 전 차단,TARGET_CONTEXT_ROLE_CONFLICT,Claim 수치 역할 확인,연령·기간·제품명 등 통계값이 아닌 숫자를 기사값으로 사용하지 않도록 차단,,,,,,,,,,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\direct-value-execution\deliverables\CLAFACT_AUTO_8번_1단계_숫자역할오인차단_20260825.csv
부모겸단일결과,A00588_14,A00588_14,단일 수치,8번 직접값 제외,다른 유형으로 이동: 6번 증감량,14일 통계청은 지난달 취업자 수가 3만5000명 늘어났다고 밝혔다.,2025-02-15,35000명,취업자 수,35000.0,명,2025-01,M,,,,DIRECT_VALUE,"{""direction"": ""INCREASE""}",HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,RECLASSIFY_TO_DIFFERENCE,CLAIM_PARSE,직접값이 아니라 두 기간 공식값의 차이를 계산해야 하는 증감량 주장,,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\single_133_live_final_v3\claim_verification_results.jsonl
복수문장부모요약,A00630_16,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,정부는 관세 대응 수출 바우처를 포함해 올해 연간 수출 바우처 예산(2400억원)의 90%를 상반기에 집중 투입한다는 방침이다.,2025-02-18,,수출액,240000000000,원,2025,Y,,,,,,,,자식별 결과,"{""NO_HARD_GUARD_CANDIDATE"": 1}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,1,0,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장부모요약,A00635_5,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,"지난달 취업자 10명 중 1명은 병원, 복지 기관, 정부가 제공하는 복지성 일자리 등에서 일한다는 뜻이다.",2025-02-18,,취업자 수,10,명,2025-01,M,,,,,,,,자식별 결과,{},,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,0,1,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
부모겸단일결과,A00637_6,A00637_6,단일 수치,8번 직접값,8번 직접값 유지,LIG넥스원은 앞서 2022년 UAE에 약 4조원대 규모 천궁-II 국산 요격미사일 수출 계약을 따낸 바 있다.,2025-02-18,4e+12원,수출액,4000000000000.0,원,2022,Y,,,,DIRECT_VALUE,,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,HARD_GUARD,공식표는 찾았지만 기사 조건에 맞는 항목·지역·기간 좌표를 확정하지 못함,UNDETERMINED,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\single_133_live_final_v3\claim_verification_results.jsonl
부모겸단일결과,A00645_23,A00645_23,단일 수치,8번 직접값 제외,다른 유형으로 이동: 7번 증감률,"뉴질랜드는 지난해 2~3분기 연속 성장률이 마이너스(-)를 기록했고, 4분기 실업률은 5%를 넘는 등 성장이 둔화하고 실업률이 오르고 있기 때문이다.",2025-02-19,5%,실업률,5.0,%,2024-Q3,Q,,,,DIRECT_VALUE,"{""direction"": ""DECREASE""}",HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,RECLASSIFY_TO_GROWTH_RATE,CLAIM_PARSE,직접값이 아니라 두 기간 공식값으로 비율을 계산해야 하는 증감률 주장,,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\single_133_live_final_v3\claim_verification_results.jsonl
