부모Claim번호,자식순번,자식Claim번호,실행자식Claim번호,재시도결과,12칸공식조회가능,공식결과생성,개념확정,후보수,근거좌표수,공식출처수,판정,판정경로,판정사유,최종상태,최종사유,진단번호
A02385_25,5,claim_06b0d681a388327e,claim_dce09bdd40438fe0,N,False,N,,0,0,0,,,,HUMAN_REVIEW,"4.6% 상승의 비교 기준(전년 동월, 전월 등)이 본문에 명시되지 않아 성장률 유형을 확정할 수 없음",
A02421_1,1,claim_8cae8d34eacd941c,claim_74d928b87b3d88dc,N,True,Y,MATCHED,85,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A02421_4,1,claim_052eec638c4dabea,claim_05c9911a91660aa9,N,True,Y,MATCHED,15,0,0,UNDETERMINED,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,
A02558_21,1,claim_2d1e921e3ec4a6fc,claim_7e1423463acdf322,N,True,Y,MATCHED,1,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A02564_5,1,claim_ce084f39d9613e94,claim_8095a00986781de9,N,True,Y,MATCHED,20,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A02569_31,1,claim_51d22b2304b36c5e,claim_53de5e61b4cf6f54,N,False,N,,0,0,0,,,,HUMAN_REVIEW,목표값은 명확하지만 기사 본문에 기준 시점(해당 월)이 명시되지 않아 target time을 확정할 수 없음,
A02569_4,1,claim_8af7f5fba0e18a13,claim_5589eab0f1f66e09,N,True,Y,MATCHED,1,1,1,MATCH,AUTO,WITHIN_TOLERANCE,AUTO,WITHIN_TOLERANCE,
A02605_13,1,claim_2b0732cff624ac31,claim_0fa91954d6f6d125,N,False,N,,0,0,0,,,,HUMAN_REVIEW,문장에 달걀의 9.2% 상승과 농축수산물 전체의 전년 동월 대비 1.9% 상승이라는 서로 독립적으로 검증 가능한 두 수치가 함께 있어 단일 Claim으로 확정할 수 없음,
A02605_13,2,claim_c6f659515668b76d,claim_edf4837696036d22,N,True,Y,MATCHED,2,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A02638_7,1,claim_afe4998fc4e1a479,claim_9e040b4f7080376e,N,True,Y,MATCHED,44,1,0,UNDETERMINED,HOLD,AMBIGUOUS_MARGIN,HOLD,AMBIGUOUS_MARGIN,
A02638_9,1,claim_344f9ec5f011218f,claim_88b29e71d432ae65,N,True,Y,MATCHED,44,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A02647_3,1,claim_7555330ed60c895a,claim_3151ac2781ccb109,N,True,Y,MATCHED,42,0,0,UNDETERMINED,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,
A02647_8,1,claim_dfffd1ef43518eee,claim_ea3d6a30aac87f34,N,False,N,,0,0,0,,,,HUMAN_REVIEW,MISSING_REQUIRED_SLOTS:time,
A02656_1,1,claim_8e7202ff446c16a9,claim_3bea9d178e787da1,N,True,Y,MATCHED,18,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A02656_1,2,claim_6c19d00162786e70,claim_eb73bfd02cedecb1,N,True,Y,MATCHED,59,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A02656_1,3,claim_3c5ead72888df203,claim_dce9c30d9e392f18,N,True,Y,MATCHED,1,2,1,UNDETERMINED,HOLD,AS_OF_UNAVAILABLE,HOLD,AS_OF_UNAVAILABLE,
A02661_3,1,claim_5f58fe9138cdce63,claim_c01aacd154d67734,N,True,Y,MATCHED,120,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A02681_3,1,claim_16ca1f40e351972d,claim_cd8c5836ffd27341,N,True,N,,0,0,0,,,,HUMAN_REVIEW,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,
A02682_6,1,claim_27c0ce7c302f1a13,claim_dfb149c3ca8e7a2d,Y,False,N,,0,0,0,,,,HUMAN_REVIEW,문장에 전년 동월 대비 가공식품 물가 상승률 3.5%와 전체 물가를 끌어올린 기여도 0.30%포인트라는 서로 독립적으로 검증 가능한 수치가 함께 있어 단일 타깃으로 안전하게 구조화할 수 없음,
A02682_6,2,claim_2577c2711f54fe7c,claim_8e93ff5b7d796bb5,Y,False,N,,0,0,0,,,,HUMAN_REVIEW,"목표 수치인 전체 물가에 대한 가공식품의 상승 기여도는 추출되지만, 대상 시점이 본문에 명시되지 않았습니다.",
A02682_9,1,claim_16c9c5b669aa1ee1,claim_569daa144ea226ec,N,True,N,,0,0,0,,,,HUMAN_REVIEW,문장에 축산물 5.3%와 수산물 5.9%라는 독립적으로 검증 가능한 두 증감 수치가 함께 있어 단일 Claim으로 확정할 수 없음,
A02682_9,2,claim_a66cfa10dc420e98,claim_f398fc58c2c7a721,N,True,Y,MATCHED,42,0,0,UNDETERMINED,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,
A02701_3,1,claim_68783c5d74281af2,claim_94c91fd0faa4a4d7,N,True,Y,MATCHED,40,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A02704_4,1,claim_b8f33b32705e794d,claim_756f277a80014db8,N,True,Y,MATCHED,20,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A00041_5,1,claim_12eb47cdfcbdbd6f,claim_b02dc8c186e9d718,N,False,N,,0,0,0,,,,HUMAN_REVIEW,MISSING_REQUIRED_SLOTS:time,
A00070_11,1,claim_155c3f8814001494,claim_a9f29200a840b948,N,True,Y,MATCHED,71,0,0,UNDETERMINED,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,
A00070_11,2,claim_a27e0beb2a34ddf3,claim_d1b8123832d0589f,N,True,Y,MATCHED,75,0,0,UNDETERMINED,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,
A00308_3,1,claim_c15918a1987e652a,claim_1a97c4c94a780c50,N,True,N,,0,0,0,,,,HUMAN_REVIEW,RELATIVE_TIME_UNRESOLVED,
A00353_6,1,claim_70d7100e09bca27c,claim_bfa0e51105123802,N,True,N,,0,0,0,,,,HUMAN_REVIEW,MISSING_REQUIRED_SLOTS:comparison,
A00622_3,1,claim_0ed26196df5bbc8f,claim_a7b2fd6156d10614,N,True,N,,0,0,0,,,,HUMAN_REVIEW,CLAIM_COMPARISON_UNSUPPORTED,
A00708_7,1,claim_082ce24adf741f95,claim_4fbbaeda57b9d06e,N,True,N,,0,0,0,,,,HUMAN_REVIEW,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,
A00840_16,1,claim_ef84bbc1bf485bb7,claim_e7bfbc87d1b3f69d,N,True,Y,MATCHED,64,1,0,UNDETERMINED,HOLD,LOW_SEMANTIC_SCORE,HOLD,LOW_SEMANTIC_SCORE,
A00849_11,1,claim_d16538d7381cefb2,A00849_11,Y,,N,,0,0,0,,,,HOLD,KOSIS_CATALOG_UNAVAILABLE,f8161c5643c5
A00922_27,1,claim_0182f2a8521e4a75,claim_2c52e902e73bce9c,N,True,Y,MATCHED,1,1,1,MATCH,AUTO,WITHIN_TOLERANCE,AUTO,WITHIN_TOLERANCE,
A01103_18,1,claim_813cd81dead363f4,claim_0cc311fbeac2fe4c,N,True,Y,MATCHED,25,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A01103_18,2,claim_fd0b6a6685277a86,claim_b7ca0f60fb485bcf,N,True,Y,MATCHED,20,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A01190_9,1,claim_4caf4e7e701f609f,claim_2c4ff69691162239,N,True,Y,MATCHED,81,1,0,UNDETERMINED,HOLD,AMBIGUOUS_MARGIN,HOLD,AMBIGUOUS_MARGIN,
A01489_17,1,claim_f964e8b487419854,claim_7418dcffff676dde,Y,True,Y,MATCHED,39,0,0,UNDETERMINED,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,
A01489_17,2,claim_244686b731b78640,claim_427c05c12bdeeabc,Y,False,N,,0,0,0,,,,HUMAN_REVIEW,MISSING_REQUIRED_SLOTS:value,
A01565_13,1,claim_c91a83f4d40b12ab,claim_ce81c542b080d1ce,N,True,Y,MATCHED,1,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A01565_13,2,claim_5f13c1222537880e,claim_f55aaa969abbed54,N,True,Y,MATCHED,1,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
